"en","da"
"Hello","Hej"
"Get started","Kom i gang"
"File upload","Upload fil"
"REDCap server export","REDCap server export"
"Local or sample data","Lokal eller testdata"
"Please be mindfull handling sensitive data","Pas godt på og overvej nøje hvordan du håndterer personfølsomme data"
"The ***FreesearchR*** app only stores data for analyses, but please only use with sensitive data when running locally. [Read more here](https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine).","***FreesearchR*** opbevarer alene data i forbindelse med din analyse, men du bør kun behandle personfølsomme data når du kører ***FreesearchR*** direkte på din egen maskine. [Læs mere her](https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine)."
"Quick overview","Hurtigt overblik"
"Select variables for final import","Vælg variabler til den endelige import"
"Exclude incomplete variables:","Ekskluder inkomplette variabler:"
"Manual selection:","Manuel udvælgelse:"
"Let's begin!","Kom i gang!"
"Analysis validation","Analysevalidering"
"Report","Rapport"
"Choose your favourite output file format for further work, and download, when the analyses are done.","Vælge dit foretrukne dataformat, og hent data, når du er ærdig med databehandlingen."
"www/intro.html","www/intro_da.html"
"<p>The <em><strong>FreesearchR</strong></em> app only stores data for analyses, but please only use with sensitive data when running locally. <a href='https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine'>Read more here</a></p>","<p><em><strong>FreesearchR</strong></em> opbevarer alene data i forbindelse med din analyse, men du bør kun behandle personfølsomme data når du kører <em><strong>FreesearchR</strong></em> direkte på dine egen maskine. <a href='https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine'>Læs mere her</a></p>"
"Overview and filter","Overblik og filtre"
"Overview and filtering","Overblik og filtrering"
"Visual overview","Visuelt overblik"
"Filter data types","Filtrer datatyper"
"Filter observations","Filtrer observationer"
"Apply filter on observation","Anvend filtre af observationer"
"Edit and create data","Ændr og opret variabler"
"Subset, rename and convert variables","Udvælg, omdøb og konverter variabler"
"Below, are several options for simple data manipulation like update variables by renaming, creating new labels (for nicer tables in the report) and changing variable classes (numeric, factor/categorical etc.).","Below, are several options for simple data manipulation like update variables by renaming, creating new labels (for nicer tables in the report) and changing variable classes (numeric, factor/categorical etc.)."
